ABSORB	20	GRASS	100	ABSORB	0	20
ACID	40	POISON	100	DEFENSE_DOWN_HIT	10	30
ACID_ARMOR	0	POISON	0	DEFENSE_UP_2	0	40
AERIAL_ACE	60	FLYING	0	ALWAYS_HIT	0	20
AEROBLAST	100	FLYING	95	HIGH_CRITICAL	0	5
AGILITY	0	PSYCHIC	0	SPEED_UP_2	0	30
AIR_CUTTER	55	FLYING	95	HIGH_CRITICAL	0	25
AMNESIA	0	PSYCHIC	0	SPECIAL_DEFENSE_UP_2	0	20
ANCIENT_POWER	60	ROCK	100	ALL_STATS_UP_HIT	10	5
ARM_THRUST	15	FIGHTING	100	MULTI_HIT	0	20
AROMATHERAPY	0	GRASS	0	HEAL_BELL	0	5
ASSIST	0	NORMAL	100	ASSIST	0	20
ASTONISH	30	GHOST	100	FLINCH_MINIMIZE_HIT	30	15
ATTRACT	0	NORMAL	100	ATTRACT	0	15
AURORA_BEAM	65	ICE	100	ATTACK_DOWN_HIT	10	20
BARRAGE	15	NORMAL	85	MULTI_HIT	0	20
BARRIER	0	PSYCHIC	0	DEFENSE_UP_2	0	30
BATON_PASS	0	NORMAL	0	BATON_PASS	0	40
BEAT_UP	10	DARK	100	BEAT_UP	0	10
BELLY_DRUM	0	NORMAL	0	BELLY_DRUM	0	10
BIDE	1	NORMAL	100	BIDE	0	10
BIND	15	NORMAL	75	TRAP	100	20
BITE	60	DARK	100	FLINCH_HIT	30	25
BLAST_BURN	150	FIRE	90	RECHARGE	0	5
BLAZE_KICK	85	FIRE	90	BLAZE_KICK	10	10
BLIZZARD	120	ICE	70	FREEZE_HIT	10	5
BLOCK	0	NORMAL	100	MEAN_LOOK	0	5
BODY_SLAM	85	NORMAL	100	PARALYZE_HIT	30	15
BONEMERANG	50	GROUND	90	DOUBLE_HIT	0	10
BONE_CLUB	65	GROUND	85	FLINCH_HIT	10	20
BONE_RUSH	25	GROUND	80	MULTI_HIT	0	10
BOUNCE	85	FLYING	85	SEMI_INVULNERABLE	30	5
BRICK_BREAK	75	FIGHTING	100	BRICK_BREAK	0	15
BUBBLE	20	WATER	100	SPEED_DOWN_HIT	10	30
BUBBLE_BEAM	65	WATER	100	SPEED_DOWN_HIT	10	20
BULK_UP	0	FIGHTING	0	BULK_UP	0	20
BULLET_SEED	10	GRASS	100	MULTI_HIT	0	30
CALM_MIND	0	PSYCHIC	0	CALM_MIND	0	20
CAMOUFLAGE	0	NORMAL	100	CAMOUFLAGE	0	20
CHARGE	0	ELECTRIC	100	CHARGE	0	20
CHARM	0	NORMAL	100	ATTACK_DOWN_2	0	20
CLAMP	35	WATER	75	TRAP	100	10
COMET_PUNCH	18	NORMAL	85	MULTI_HIT	0	15
CONFUSE_RAY	0	GHOST	100	CONFUSE	0	10
CONFUSION	50	PSYCHIC	100	CONFUSE_HIT	10	25
CONSTRICT	10	NORMAL	100	SPEED_DOWN_HIT	10	35
CONVERSION	0	NORMAL	0	CONVERSION	0	30
CONVERSION_2	0	NORMAL	100	CONVERSION_2	0	30
COSMIC_POWER	0	PSYCHIC	0	COSMIC_POWER	0	20
COTTON_SPORE	0	GRASS	85	SPEED_DOWN_2	0	40
COUNTER	1	FIGHTING	100	COUNTER	0	20
COVET	40	NORMAL	100	THIEF	100	40
CRABHAMMER	90	WATER	85	HIGH_CRITICAL	0	10
CROSS_CHOP	100	FIGHTING	80	HIGH_CRITICAL	0	5
CRUNCH	80	DARK	100	SPECIAL_DEFENSE_DOWN_HIT	20	15
CRUSH_CLAW	75	NORMAL	95	DEFENSE_DOWN_HIT	50	10
CURSE	0	MYSTERY	0	CURSE	0	10
CUT	50	NORMAL	95	HIT	0	30
DEFENSE_CURL	0	NORMAL	0	DEFENSE_CURL	0	40
DESTINY_BOND	0	GHOST	0	DESTINY_BOND	0	5
DETECT	0	FIGHTING	0	PROTECT	0	5
DIG	60	GROUND	100	SEMI_INVULNERABLE	0	10
DISABLE	0	NORMAL	55	DISABLE	0	20
DIVE	60	WATER	100	SEMI_INVULNERABLE	0	10
DIZZY_PUNCH	70	NORMAL	100	CONFUSE_HIT	20	10
DOOM_DESIRE	120	STEEL	85	FUTURE_SIGHT	0	5
DOUBLE_EDGE	120	NORMAL	100	DOUBLE_EDGE	0	15
DOUBLE_KICK	30	FIGHTING	100	DOUBLE_HIT	0	30
DOUBLE_SLAP	15	NORMAL	85	MULTI_HIT	0	10
DOUBLE_TEAM	0	NORMAL	0	EVASION_UP	0	15
DRAGON_BREATH	60	DRAGON	100	PARALYZE_HIT	30	20
DRAGON_CLAW	80	DRAGON	100	HIT	0	15
DRAGON_DANCE	0	DRAGON	0	DRAGON_DANCE	0	20
DRAGON_RAGE	1	DRAGON	100	DRAGON_RAGE	0	10
DREAM_EATER	100	PSYCHIC	100	DREAM_EATER	0	15
DRILL_PECK	80	FLYING	100	HIT	0	20
