ITEM_AGUAV_BERRY	20
ITEM_AMULET_COIN	100
ITEM_ANTIDOTE	100
ITEM_APICOT_BERRY	20
ITEM_ASPEAR_BERRY	20
ITEM_AWAKENING	250
ITEM_BEAD_MAIL	50
ITEM_BELUE_BERRY	20
ITEM_BERRY_JUICE	100
ITEM_BIG_MUSHROOM	5000
ITEM_BIG_PEARL	7500
ITEM_BLACK_BELT	100
ITEM_BLACK_FLUTE	400
ITEM_BLACK_GLASSES	100
ITEM_BLUE_FLUTE	100
ITEM_BLUE_SCARF	100
ITEM_BLUE_SHARD	200
ITEM_BLUK_BERRY	20
ITEM_BRIGHT_POWDER	10
ITEM_BURN_HEAL	250
ITEM_CALCIUM	9800
ITEM_CARBOS	9800
ITEM_CHARCOAL	9800
ITEM_CHERI_BERRY	20
ITEM_CHESTO_BERRY	20
ITEM_CHOICE_BAND	100
ITEM_CLEANSE_TAG	200
ITEM_CORNN_BERRY	20
ITEM_DEEP_SEA_SCALE	200
ITEM_DEEP_SEA_TOOTH	200
ITEM_DIRE_HIT	650
ITEM_DIVE_BALL	1000
ITEM_DRAGON_FANG	100
ITEM_DRAGON_SCALE	2100
ITEM_DREAM_MAIL	50
ITEM_DURIN_BERRY	20
ITEM_ELIXIR	3000
ITEM_ENERGY_POWDER	500
ITEM_ENERGY_ROOT	800
ITEM_ENIGMA_BERRY	20
ITEM_ESCAPE_ROPE	550
ITEM_ETHER	1200
ITEM_EVERSTONE	200
ITEM_EXP_SHARE	3000
ITEM_FAB_MAIL	50
ITEM_FIGY_BERRY	20
ITEM_FIRE_STONE	2100
ITEM_FLUFFY_TAIL	1000
ITEM_FOCUS_BAND	200
ITEM_FRESH_WATER	200
ITEM_FULL_HEAL	600
ITEM_FULL_RESTORE	3000
ITEM_GANLON_BERRY	20
ITEM_GLITTER_MAIL	50
ITEM_GREAT_BALL	600
ITEM_GREEN_SCARF	100
ITEM_GREEN_SHARD	200
ITEM_GREPA_BERRY	20
ITEM_GUARD_SPEC	700
ITEM_HARBOR_MAIL	50
ITEM_HARD_STONE	100
ITEM_HEAL_POWDER	450
ITEM_HEART_SCALE	100
ITEM_HONDEW_BERRY	20
ITEM_HP_UP	9800
ITEM_HYPER_POTION	1200
ITEM_IAPAPA_BERRY	20
ITEM_ICE_HEAL	250
ITEM_IRON	9800
ITEM_KELPSY_BERRY	20
ITEM_KINGS_ROCK	100
ITEM_LANSAT_BERRY	20
ITEM_LAVA_COOKIE	200
ITEM_LAX_INCENSE	9600
ITEM_LEAF_STONE	2100
ITEM_LEFTOVERS	200
ITEM_LEMONADE	350
ITEM_LEPPA_BERRY	20
ITEM_LIECHI_BERRY	20
ITEM_LIGHT_BALL	100
ITEM_LUCKY_EGG	200
ITEM_LUCKY_PUNCH	10
ITEM_LUM_BERRY	20
ITEM_LUXURY_BALL	1000
ITEM_MACHO_BRACE	3000
ITEM_MAGNET	100
ITEM_MAGOST_BERRY	20
ITEM_MAGO_BERRY	20
ITEM_MAX_ELIXIR	4500
ITEM_MAX_ETHER	2000
ITEM_MAX_POTION	2500
ITEM_MAX_REPEL	700
ITEM_MAX_REVIVE	4000
ITEM_MECH_MAIL	50
ITEM_MENTAL_HERB	100
ITEM_METAL_COAT	100
ITEM_METAL_POWDER	10
ITEM_MIRACLE_SEED	100
ITEM_MOOMOO_MILK	500
ITEM_MYSTIC_WATER	100
ITEM_NANAB_BERRY	20
ITEM_NEST_BALL	1000
ITEM_NET_BALL	1000
ITEM_NEVER_MELT_ICE	100
ITEM_NOMEL_BERRY	20
ITEM_NUGGET	10000
ITEM_ORANGE_MAIL	50
ITEM_ORAN_BERRY	20
ITEM_PAMTRE_BERRY	20
ITEM_PARALYZE_HEAL	200
ITEM_PEARL	1400
ITEM_PECHA_BERRY	20
ITEM_PERSIM_BERRY	20
ITEM_PETAYA_BERRY	20
ITEM_PINAP_BERRY	20
ITEM_PINK_SCARF	100
ITEM_POISON_BARB	100
ITEM_POKE_BALL	200
ITEM_POKE_DOLL	1000
ITEM_POMEG_BERRY	20
ITEM_POTION	300
ITEM_PP_MAX	9800
ITEM_PP_UP	9800
ITEM_PREMIER_BALL	200
ITEM_PROTEIN	9800
ITEM_QUALOT_BERRY	20
